At least you could have warned us.,1
"Aw, poor Tom.",0
The Morse code is loud af for me.,0
Is there moorse code at the end of the video I can hear the high pitched pinging but I don't know morse code well enough,1
What was that morse code at the end,1
Sounds like a bit of morse code there at the end,1
Something you complain is another thing you learn,1
At least you could have warned us.,0
"Aw, poor Tom.",0
The Morse code is loud af for me.,0
Is there moorse code at the end of the video I can hear the high pitched pinging but I don't know morse code well enough,0
What was that morse code at the end,0
Sounds like a bit of morse code there at the end,0
Something you complain is another thing you learn,0
